Label,txcount,mint_count,swap_count,burn_count,mint_ratio,swap_ratio,burn_ratio,mint_mean_period,swap_mean_period,burn_mean_period,swapIn,swapOut,swap_rate,LP_avg,LP_stdev,LPCreator_holding_ratio,Lock_ratio,Creator_token_holding_ratio,number_of_token_creation_of_Creator
True,19,1.0,18.0,0.0,0.052631579,0.947368421,4.999999999899999946736061128246376499048645170643235937337758848148829005086923871203907765448093414306640625E-27,0.0,0.083375657,0.0,15.0,3.0,3.75,100.0,0.0,0E+33,1.000000000000000000000000000,1,1
True,26,1.0,25.0,0.0,0.038461538,0.961538462,5.0599999999999993913359737452200680729390812329082649512201896868646144866943359375E-16,0.0,0.196376812,0.0,17.0,8.0,1.888888889,100.0,0.0,0E+31,1.000000000000000000000000000,1,1
True,20,1.0,19.0,0.0,0.05,0.95,5.06999999999999955382951331429409897472650897189139218568243450135923922061920166015625E-16,0.0,0.117471136,0.0,18.0,1.0,9.0,100.0,0.0,0E+31,1.000000000000000000000000000,1,1
True,22,1.0,21.0,0.0,0.045454545,0.954545455,5.000000000000000536857459338426238757075729197286479930417813053074305162937207569484598934650421142578125E-25,0.0,0.080932556,0.0,19.0,2.0,6.333333333,100.0,0.0,0E+33,1.000000000000000000000000000,1,1
True,36,1.0,35.0,0.0,0.027777778,0.972222222,4.99999999999999953768726113948185698364967255837765378455208979679991188049825723282992839813232421875E-22,0.0,0.336502661,0.0,31.0,4.0,6.2,100.0,0.0,0E+34,1.000000000000000000000000000,1,1
True,5,1.0,4.0,0.0,0.2,0.8,0,0.0,0.437683046,0.0,4.0,0.0,4.0,100.0,0.0,1,0,1,1
True,33,1.0,32.0,0.0,0.03030303,0.96969697,4.999999999999999402450867857040639426875221402492288635954764686175622045993804931640625E-16,0.0,0.065423747,0.0,29.0,3.0,7.25,100.0,0.0,0E+33,1.000000000000000000000000000,1,1
True,23,1.0,22.0,0.0,0.043478261,0.956521739,0,0.0,0.569527611,0.0,21.0,1.0,10.5,100.0,0.0,1,0,1,16
True,42,1.0,41.0,0.0,0.023809524,0.976190476,4.99999999999999987622963417630065927864579527838440899632777014716111807501874864101409912109375E-20,0.0,0.090987928,0.0,36.0,5.0,6.0,100.0,0.0,0E+33,1.000000000000000000000000000,1,1
True,14,1.0,13.0,0.0,0.071428571,0.928571429,5.0599999999999993913359737452200680729390812329082649512201896868646144866943359375E-14,0.0,0.212523326,0.0,12.0,1.0,6.0,100.0,0.0,0E+31,1.000000000000000000000000000,1,1
True,14,1.0,13.0,0.0,0.071428571,0.928571429,5.04999999999999922884243417614603717115165349392513771675794487236998975276947021484375E-16,0.0,0.413445378,0.0,10.0,3.0,2.5,100.0,0.0,0E+30,1.000000000000000000000000000,1,2
True,19,1.0,18.0,0.0,0.052631579,0.947368421,5.04999999999999922884243417614603717115165349392513771675794487236998975276947021484375E-16,0.0,0.24544201,0.0,17.0,1.0,8.5,100.0,0.0,0E+30,1.000000000000000000000000000,1,1
True,28,1.0,27.0,0.0,0.035714286,0.964285714,5.06999999999999955382951331429409897472650897189139218568243450135923922061920166015625E-16,0.0,0.354417671,0.0,24.0,3.0,6.0,100.0,0.0,0E+31,1.000000000000000000000000000,1,1
True,114,1.0,113.0,0.0,0.00877193,0.99122807,5.09000000000000064918857020733650200069254148382857406984758341650376678444445133209228515625E-18,0.0,0.137065132,0.0,85.0,28.0,2.931034483,100.0,0.0,0E+32,0.9999999999999999999999999998,1,1
True,47,1.0,46.0,0.0,0.021276596,0.978723404,5.0799999999999997163230528833681298765139367108745194201446793158538639545440673828125E-16,0.0,0.284570082,0.0,42.0,4.0,8.4,100.0,0.0,0E+31,1.000000000000000000000000000,1,1
True,7,1.0,5.0,1.0,0.142857143,0.714285714,5.00000000000000035771212027310962254264028092461623863085318220100816688500344753265380859375E-18,0.0,0.08910793,1.0,5.0,0.0,5.0,100.0,0.0,0,1,1,1
True,8,1.0,7.0,0.0,0.125,0.875,5.0000000000000002429838716328543617648915948917250604757514238600524247857492809998802840709686279296875E-23,0.0,0.535028249,0.0,4.0,3.0,1.0,100.0,0.0,0E+35,0.9999999999999999999999999999,1,1
True,11,1.0,10.0,0.0,0.090909091,0.909090909,4.999999999900000297209701825911396999927443743455784778972894599746723542921245098114013671875E-19,0.0,0.140348174,0.0,10.0,0.0,10.0,100.0,0.0,0E+30,1.000000000000000000000000000,1,1
True,7,1.0,6.0,0.0,0.142857143,0.857142857,0,0.0,0.66468173,0.0,6.0,0.0,6.0,100.0,0.0,1,0,1,1
True,29,1.0,28.0,0.0,0.034482759,0.965517241,3.2472324723247233175455985601561755015710686311791732805431820452213287353515625E-12,0.0,0.0652971,0.0,25.0,3.0,6.25,100.0,0.0,0E+42,1.000000000000000000000000000,1,1
True,20,1.0,19.0,0.0,0.05,0.95,0,0.0,0.131556027,0.0,19.0,0.0,19.0,100.0,0.0,1,0,1,1
True,118,1.0,117.0,0.0,0.008474576,0.991525424,0,0.0,0.107943748,0.0,97.0,20.0,4.619047619,100.0,0.0,0E+27,1.000000000000000000000000000,1,1
True,21,1.0,20.0,0.0,0.047619048,0.952380952,5.0799999999999997163230528833681298765139367108745194201446793158538639545440673828125E-16,0.0,0.3230563,0.0,18.0,2.0,6.0,100.0,0.0,0E+31,1.000000000000000000000000000,1,1
True,14,1.0,13.0,0.0,0.071428571,0.928571429,5.00000000000000035771212027310962254264028092461623863085318220100816688500344753265380859375E-18,0.0,0.242589348,0.0,13.0,0.0,13.0,100.0,0.0,0E+27,0.9999999999999999999999999997,1,1
True,66,1.0,65.0,0.0,0.015151515,0.984848485,5.0000000000000003114079572888992820944853434639298939146101474761962890625E-10,0.0,0.035741223,0.0,55.0,10.0,5.0,100.0,0.0,0E+33,1.000000000000000000000000000,1,1
True,10,1.0,9.0,0.0,0.1,0.9,3.60000000000000010347833104566005998622276685892950633116615932749482453800737857818603515625E-18,0.0,0.340073529,0.0,7.0,2.0,2.333333333,100.0,0.0,0E+33,1.000000000000000000000000000,1,1
